12.9,-20.5,NaN,718300,-77,33,1009,46,0,NaN,46,NaN,78,NaN,NaN,NaN
13.3,-22.3,NaN,718300.25,-77,33,1010,46,0,NaN,46,NaN,75,NaN,NaN,NaN
13.7,-24.1,NaN,718300.5,-77,33,1009,46,0,NaN,46,NaN,79,NaN,NaN,NaN
14,-25.9,NaN,718300.75,-80,33,1006,56,0,NaN,56,NaN,71,NaN,NaN,NaN
14.3,-27.6,NaN,718301,-79,31,1006,65,0,NaN,65,NaN,54,NaN,NaN,NaN
14.6,-29.3,NaN,718301.25,-79,31,1006,65,0,NaN,65,NaN,45,NaN,NaN,NaN
14.8,-30.9,NaN,718301.5,-82,29,1003,74,0,NaN,74,NaN,38,NaN,NaN,NaN
15,-32.7,NaN,718301.75,-83,32,1002,83,0,NaN,83,NaN,42,NaN,NaN,NaN
15.1,-34.8,NaN,718302,-87,38,997,93,0,NaN,93,NaN,52,NaN,NaN,NaN
15.2,-37.2,NaN,718302.25,-87,43,992,111,0,NaN,111,NaN,47,NaN,NaN,NaN
15.2,-39.6,NaN,718302.5,-90,43,989,120,0,NaN,120,NaN,44,NaN,NaN,NaN
15.3,-41.8,NaN,718302.75,-87,39,992,120,0,NaN,120,NaN,38,NaN,NaN,NaN
15.3,-43.8,NaN,718303,-90,36,990,120,0,NaN,120,NaN,48,NaN,NaN,NaN
15.3,-45.7,NaN,718303.25,-90,34,989,120,0,NaN,120,NaN,59,NaN,NaN,NaN
15.3,-47.7,NaN,718303.5,-90,36,992,120,0,NaN,120,NaN,75,NaN,NaN,NaN
15.5,-49.8,NaN,718303.75,-84,38,993,120,0,NaN,120,NaN,74,NaN,NaN,NaN
16,-52,NaN,718304,-76,40,993,120,0,NaN,120,NaN,68,NaN,NaN,NaN
16.4,-54.1,NaN,718304.25,-78,38,995,120,0,NaN,120,NaN,64,NaN,NaN,NaN
16.7,-56.2,NaN,718304.5,-81,38,986,139,0,NaN,139,NaN,65,NaN,NaN,NaN
17,-58,NaN,718304.75,-80,32,990,130,0,NaN,130,NaN,59,NaN,NaN,NaN
17.4,-59.6,NaN,718305,-75,29,994,111,0,NaN,111,NaN,45,NaN,NaN,NaN
17.9,-61,NaN,718305.25,-69,26,997,102,0,NaN,102,NaN,37,NaN,NaN,NaN
18.4,-62.3,NaN,718305.5,-68,25,995,102,0,NaN,102,NaN,24,NaN,NaN,NaN
19,-63.7,NaN,718305.75,-65,27,994,111,0,NaN,111,NaN,34,NaN,NaN,NaN
19.7,-65.1,NaN,718306,-62,28,987,130,0,NaN,130,NaN,72,NaN,NaN,NaN
20.4,-66.3,NaN,718306.25,-58,25,993,120,0,NaN,120,NaN,93,NaN,NaN,NaN
21,-67.5,NaN,718306.5,-62,24,989,120,0,NaN,120,NaN,111,NaN,NaN,NaN
21.7,-68.9,NaN,718306.75,-62,27,983,130,0,NaN,130,NaN,111,NaN,NaN,NaN
