lat,long,distance,azimuth,speed,cp,windspeed,landfall_flag,overland_flag,maxwind,min_cp,rad_maxwind,eye_diam,pressure_isobar,rad_isobar,date_time,SID,hour,day,month,derived_distance
13.8,-41.2,,-82,13,1006,56,0,,56,,85,,,,1926-09-01 00:00:00,B_2,0,2,9,0.0
13.9,-41.9,,-82,13,1006,56,0,,56,,77,,,,1926-09-01 06:00:00,B_2,6,2,9,76.38713308349591
14.0,-42.5,,-80,11,1005,56,0,,56,,73,,,,1926-09-01 12:00:00,B_2,12,2,9,65.69714858382198
14.1,-43.1,,-80,11,1005,56,0,,56,,66,,,,1926-09-01 18:00:00,B_2,18,2,9,65.66938477346577
14.2,-43.7,,-80,11,1003,65,0,,65,,61,,,,1926-09-02 00:00:00,B_2,0,3,9,65.64142700554642
14.3,-44.3,,-80,11,1003,65,0,,65,,61,,,,1926-09-02 06:00:00,B_2,6,3,9,65.6132753730112
14.5,-44.9,,-71,11,1002,74,0,,74,,42,,,,1926-09-02 12:00:00,B_2,12,3,9,68.34062664497947
14.6,-45.4,,-78,9,1002,74,0,,74,,53,,,,1926-09-02 18:00:00,B_2,18,3,9,54.95122742471932
14.8,-45.8,,-63,8,1003,74,0,,74,,65,,,,1926-09-03 00:00:00,B_2,0,4,9,48.43013383744033
14.9,-46.2,,-75,7,1001,83,0,,83,,50,,,,1926-09-03 06:00:00,B_2,6,4,9,44.40714925533916
15.0,-46.7,,-78,9,1001,83,0,,83,,47,,,,1926-09-03 12:00:00,B_2,12,4,9,54.85445277206759
15.1,-47.1,,-75,7,999,93,0,,93,,60,,,,1926-09-03 18:00:00,B_2,18,4,9,44.36837347005818
15.2,-47.6,,-78,9,999,93,0,,93,,60,,,,1926-09-04 00:00:00,B_2,0,5,9,54.80510654199419
15.3,-48.0,,-75,7,996,102,0,,102,,60,,,,1926-09-04 06:00:00,B_2,6,5,9,44.3290933247588
15.5,-48.6,,-71,11,997,102,0,,102,,59,,,,1926-09-04 12:00:00,B_2,12,5,9,68.05757983513189
