lat,long,distance,azimuth,speed,cp,windspeed,landfall_flag,overland_flag,maxwind,min_cp,rad_maxwind,eye_diam,pressure_isobar,rad_isobar,date_time,SID,hour,day,month,derived_distance
12.9,-20.5,,-77,33,1009,46,0,,46,,78,,,,1966-08-21 00:00:00,P_4,0,6,8,0.0
13.3,-22.3,,-77,33,1010,46,0,,46,,75,,,,1966-08-21 06:00:00,P_4,6,6,8,199.9512350530127
13.7,-24.1,,-77,33,1009,46,0,,46,,79,,,,1966-08-21 12:00:00,P_4,12,6,8,199.6378225804907
14.0,-25.9,,-80,33,1006,56,0,,56,,71,,,,1966-08-21 18:00:00,P_4,18,6,8,197.1735238497709
14.3,-27.6,,-79,31,1006,65,0,,65,,54,,,,1966-08-22 00:00:00,P_4,0,0,8,186.30636874253608
14.6,-29.3,,-79,31,1006,65,0,,65,,45,,,,1966-08-22 06:00:00,P_4,6,0,8,186.06583590831795
14.8,-30.9,,-82,29,1003,74,0,,74,,38,,,,1966-08-22 12:00:00,P_4,12,0,8,173.51922690788922
15.0,-32.7,,-83,32,1002,83,0,,83,,42,,,,1966-08-22 18:00:00,P_4,18,0,8,194.69492850046663
15.1,-34.8,,-87,38,997,93,0,,93,,52,,,,1966-08-23 00:00:00,P_4,0,1,8,225.773295026506
15.2,-37.2,,-87,43,992,111,0,,111,,47,,,,1966-08-23 06:00:00,P_4,6,1,8,257.83173061493375
15.2,-39.6,,-90,43,989,120,0,,120,,44,,,,1966-08-23 12:00:00,P_4,12,1,8,257.5309131848473
15.3,-41.8,,-87,39,992,120,0,,120,,38,,,,1966-08-23 18:00:00,P_4,18,1,8,236.27588431424144
15.3,-43.8,,-90,36,990,120,0,,120,,48,,,,1966-08-24 00:00:00,P_4,0,2,8,214.50732069207248
15.3,-45.7,,-90,34,989,120,0,,120,,59,,,,1966-08-24 06:00:00,P_4,6,2,8,203.78202490939353
15.3,-47.7,,-90,36,992,120,0,,120,,75,,,,1966-08-24 12:00:00,P_4,12,2,8,214.50732069207248
15.5,-49.8,,-84,38,993,120,0,,120,,74,,,,1966-08-24 18:00:00,P_4,18,2,8,226.22034719489525
16.0,-52.0,,-76,40,993,120,0,,120,,68,,,,1966-08-25 00:00:00,P_4,0,3,8,241.91800993015397
16.4,-54.1,,-78,38,995,120,0,,120,,64,,,,1966-08-25 06:00:00,P_4,6,3,8,228.60494121106254
16.7,-56.2,,-81,38,986,139,0,,139,,65,,,,1966-08-25 12:00:00,P_4,12,3,8,226.30647302235275
17.0,-58.0,,-80,32,990,130,0,,130,,59,,,,1966-08-25 18:00:00,P_4,18,3,8,194.43999566791027
17.4,-59.6,,-75,29,994,111,0,,111,,45,,,,1966-08-26 00:00:00,P_4,0,4,8,175.67836621553195
17.9,-61.0,,-69,26,997,102,0,,102,,37,,,,1966-08-26 06:00:00,P_4,6,4,8,158.4204847028385
18.4,-62.3,,-68,25,995,102,0,,102,,24,,,,1966-08-26 12:00:00,P_4,12,4,8,148.18555116130833
19.0,-63.7,,-65,27,994,111,0,,111,,34,,,,1966-08-26 18:00:00,P_4,18,4,8,161.8450309583986
19.7,-65.1,,-62,28,987,130,0,,130,,72,,,,1966-08-27 00:00:00,P_4,0,5,8,166.2276276744078
20.4,-66.3,,-58,25,993,120,0,,120,,93,,,,1966-08-27 06:00:00,P_4,6,5,8,147.54693982188286
21.0,-67.5,,-62,24,989,120,0,,120,,111,,,,1966-08-27 12:00:00,P_4,12,5,8,141.53075480053602
21.7,-68.9,,-62,27,983,130,0,,130,,111,,,,1966-08-27 18:00:00,P_4,18,5,8,164.56023793935748
22.2,-70.0,,-64,21,979,139,0,,139,,85,,,,1966-08-28 00:00:00,P_4,0,6,8,126.33831807212509
22.7,-70.4,,-36,12,973,148,0,,148,,33,,,,1966-08-28 06:00:00,P_4,6,6,8,69.14383283326454
23.3,-70.7,,-25,12,962,176,0,,176,,41,,,,1966-08-28 12:00:00,P_4,12,6,8,73.4442054157301
23.8,-71.0,,-29,11,957,185,0,,185,,48,,,,1966-08-28 18:00:00,P_4,18,6,8,63.45252118806424
24.2,-71.1,,-13,8,955,185,0,,185,,56,,,,1966-08-29 00:00:00,P_4,0,0,8,45.62327483647395
24.6,-71.1,,0,7,960,176,0,,176,,62,,,,1966-08-29 06:00:00,P_4,6,0,8,44.478032093413574
25.0,-71.1,,0,7,963,167,0,,167,,55,,,,1966-08-29 12:00:00,P_4,12,0,8,44.47803209341287
25.4,-71.2,,-13,8,963,167,0,,167,,59,,,,1966-08-29 18:00:00,P_4,18,0,8,45.601787604065606
25.8,-71.5,,-34,9,963,167,0,,167,,62,,,,1966-08-30 00:00:00,P_4,0,1,8,53.696591052770096
26.3,-71.9,,-36,11,970,148,0,,148,,48,,,,1966-08-30 06:00:00,P_4,6,1,8,68.46776075311625
26.9,-72.3,,-31,13,966,157,0,,157,,60,,,,1966-08-30 12:00:00,P_4,12,1,8,77.67115527961832
27.4,-72.9,,-47,14,967,157,0,,157,,68,,,,1966-08-30 18:00:00,P_4,18,1,8,81.33474638994593
28.0,-73.2,,-24,12,967,157,0,,157,,72,,,,1966-08-31 00:00:00,P_4,0,2,8,72.96225615156538
28.7,-73.4,,-14,13,973,148,0,,148,,47,,,,1966-08-31 06:00:00,P_4,6,2,8,80.25941402176583
29.4,-73.5,,-7,13,954,157,0,,157,,98,,,,1966-08-31 12:00:00,P_4,12,2,8,78.44117482279343
30.5,-73.3,,9,21,963,167,0,,167,,74,,,,1966-08-31 18:00:00,P_4,18,2,8,123.82301726212549
31.7,-72.5,,30,26,970,167,0,,167,,68,,,,1966-09-01 00:00:00,P_4,0,3,9,153.64270561612793
32.9,-71.4,,37,28,963,167,0,,167,,66,,,,1966-09-01 06:00:00,P_4,6,3,9,168.79796580866687
34.0,-70.3,,40,27,963,167,0,,167,,80,,,,1966-09-01 12:00:00,P_4,12,3,9,159.2962705220482
35.0,-69.2,,42,25,957,176,0,,176,,86,,,,1966-09-01 18:00:00,P_4,18,3,9,150.08263593914094
35.8,-68.0,,50,23,958,176,0,,176,,83,,,,1966-09-02 00:00:00,P_4,0,4,9,140.50822382662855
36.5,-66.8,,54,22,960,167,0,,167,,92,,,,1966-09-02 06:00:00,P_4,6,4,9,132.91703266078443
37.0,-65.2,,68,26,968,167,0,,167,,94,,,,1966-09-02 12:00:00,P_4,12,4,9,153.00837088620986
37.1,-63.0,,86,33,966,176,0,,176,,93,,,,1966-09-02 18:00:00,P_4,18,4,9,195.5529701965356
37.2,-60.1,,87,43,956,185,0,,185,,57,,,,1966-09-03 00:00:00,P_4,0,5,9,257.2539729728346
37.5,-57.0,,82,46,950,194,0,,194,,61,,,,1966-09-03 06:00:00,P_4,6,5,9,276.0310427576351
38.3,-54.0,,70,46,951,194,0,,194,,59,,,,1966-09-03 12:00:00,P_4,12,5,9,277.8351767010309
39.7,-50.5,,62,57,957,185,0,,185,,69,,,,1966-09-03 18:00:00,P_4,18,5,9,340.12711091015046
41.9,-47.0,,49,64,963,176,0,,176,,80,,,,1966-09-04 00:00:00,P_4,0,6,9,382.8735145491505
44.7,-43.5,,41,70,972,167,0,,167,,76,,,,1966-09-04 06:00:00,P_4,6,6,9,420.8196939409909
47.5,-40.0,,40,69,954,167,0,,167,,78,,,,1966-09-04 12:00:00,P_4,12,6,9,411.9316790674254
50.2,-36.5,,39,66,958,167,0,,167,,77,,,,1966-09-04 18:00:00,P_4,18,6,9,394.5241761165177
52.8,-33.0,,39,63,958,167,0,,167,,80,,,,1966-09-05 00:00:00,P_4,0,0,9,377.106982797827
55.2,-29.4,,40,59,960,157,0,,157,,86,,,,1966-09-05 06:00:00,P_4,6,0,9,355.6892356855408
57.3,-24.5,,50,64,961,148,0,,148,,94,,,,1966-09-05 12:00:00,P_4,12,0,9,382.1514498170361
58.7,-19.4,,60,56,963,139,0,,139,,99,,,,1966-09-05 18:00:00,P_4,18,0,9,338.32115330216357
60.2,-12.7,,63,69,967,130,0,,130,,102,,,,1966-09-06 00:00:00,P_4,0,1,9,413.5434835159015
61.5,-7.0,,62,57,969,120,0,,120,,122,,,,1966-09-06 06:00:00,P_4,6,1,9,340.7425354706282
62.5,-2.0,,65,47,975,111,0,,111,,111,,,,1966-09-06 12:00:00,P_4,12,1,9,283.61806836006076
