lat,long,distance,azimuth,speed,cp,windspeed,landfall_flag,overland_flag,maxwind,min_cp,rad_maxwind,eye_diam,pressure_isobar,rad_isobar,date_time,SID,hour,day,month,derived_distance
25.5,-71.5,,138,7,1011,46,0,,46,,119,,,,1971-09-06 00:00:00,A_6,0,0,9,0.0
25.2,-71.2,,138,7,1010,46,0,,46,,134,,,,1971-09-06 06:00:00,A_6,6,0,9,44.962130121971605
25.0,-71.0,,138,5,1011,46,0,,46,,130,,,,1971-09-06 12:00:00,A_6,12,0,9,30.002512385210004
24.8,-70.8,,138,5,1010,46,0,,46,,140,,,,1971-09-06 18:00:00,A_6,18,0,9,30.024543968214402
24.6,-70.5,,126,6,1009,46,0,,46,,169,,,,1971-09-07 00:00:00,A_6,0,1,9,37.59062909240748
24.4,-70.3,,138,5,1010,46,0,,46,,136,,,,1971-09-07 06:00:00,A_6,6,1,9,30.068169557808073
24.3,-69.9,,105,7,1009,46,0,,46,,151,,,,1971-09-07 12:00:00,A_6,12,1,9,42.01938163712223
24.7,-69.3,,54,13,1008,46,0,,46,,144,,,,1971-09-07 18:00:00,A_6,18,1,9,75.25929072227198
25.2,-68.8,,42,13,1008,46,0,,46,,139,,,,1971-09-08 00:00:00,A_6,0,2,9,75.04745932239739
25.5,-68.5,,42,7,1008,46,0,,46,,127,,,,1971-09-08 06:00:00,A_6,6,2,9,44.962130121970745
25.9,-68.2,,34,9,1008,46,0,,46,,121,,,,1971-09-08 12:00:00,A_6,12,2,9,53.682475122341884
26.3,-68.0,,24,8,1009,46,0,,46,,118,,,,1971-09-08 18:00:00,A_6,18,2,9,48.755956430855626
26.6,-67.9,,17,6,1009,46,0,,46,,103,,,,1971-09-09 00:00:00,A_6,0,3,9,34.81240897827415
26.8,-67.7,,42,5,1007,46,0,,46,,99,,,,1971-09-09 06:00:00,A_6,6,3,9,29.82110959706644
27.0,-67.6,,24,4,1008,46,0,,46,,94,,,,1971-09-09 12:00:00,A_6,12,3,9,24.349694982541717
27.3,-67.4,,31,6,1006,56,0,,56,,96,,,,1971-09-09 18:00:00,A_6,18,3,9,38.78631807126199
27.6,-67.0,,50,9,1007,56,0,,56,,88,,,,1971-09-10 00:00:00,A_6,0,4,9,51.67877821159566
27.7,-66.6,,74,7,1006,56,0,,56,,59,,,,1971-09-10 06:00:00,A_6,6,4,9,40.93764240592776
27.7,-66.1,,90,8,1003,74,0,,74,,115,,,,1971-09-10 12:00:00,A_6,12,4,9,49.225673875843874
27.7,-65.5,,90,10,1003,83,0,,83,,139,,,,1971-09-10 18:00:00,A_6,18,4,9,59.070790830249834
27.7,-65.0,,90,8,997,93,0,,93,,68,,,,1971-09-11 00:00:00,A_6,0,5,9,49.225673875843874
27.8,-64.2,,82,13,994,102,0,,102,,51,,,,1971-09-11 06:00:00,A_6,6,5,9,79.50627059804454
27.9,-63.3,,83,15,991,120,0,,120,,46,,,,1971-09-11 12:00:00,A_6,12,5,9,89.17990409404753
28.3,-62.4,,63,16,987,120,0,,120,,51,,,,1971-09-11 18:00:00,A_6,18,5,9,98.8506188838096
28.9,-61.6,,49,17,982,130,0,,130,,46,,,,1971-09-12 00:00:00,A_6,0,6,9,102.71779144538549
29.6,-60.7,,48,19,984,139,0,,139,,40,,,,1971-09-12 06:00:00,A_6,6,6,9,116.97141111106149
30.3,-59.9,,45,18,985,139,0,,139,,37,,,,1971-09-12 12:00:00,A_6,12,6,9,109.54095721909567
31.1,-59.0,,44,21,978,148,0,,148,,41,,,,1971-09-12 18:00:00,A_6,18,6,9,123.76401920790042
31.7,-58.2,,48,17,975,148,0,,148,,48,,,,1971-09-13 00:00:00,A_6,0,0,9,101.07505917299962
32.3,-57.2,,54,19,969,157,0,,157,,73,,,,1971-09-13 06:00:00,A_6,6,0,9,115.51269992218639
32.7,-56.1,,66,19,966,157,0,,157,,80,,,,1971-09-13 12:00:00,A_6,12,0,9,112.33832996858133
33.0,-54.9,,73,19,959,167,0,,167,,72,,,,1971-09-13 18:00:00,A_6,18,0,9,116.95450653322601
33.3,-53.3,,77,25,966,176,0,,176,,76,,,,1971-09-14 00:00:00,A_6,0,1,9,152.64330447889807
33.6,-52.7,,59,11,969,167,0,,167,,118,,,,1971-09-14 06:00:00,A_6,6,1,9,64.89627845109283
33.7,-50.1,,87,40,971,157,0,,157,,65,,,,1971-09-14 12:00:00,A_6,12,1,9,240.91416371067425
33.3,-48.3,,104,29,964,148,0,,148,,80,,,,1971-09-14 18:00:00,A_6,18,1,9,172.7252564157297
33.0,-48.4,,-164,6,981,139,0,,139,,87,,,,1971-09-15 00:00:00,A_6,0,2,9,34.633242789755066
32.9,-48.7,,-112,5,978,139,0,,139,,85,,,,1971-09-15 06:00:00,A_6,6,2,9,30.120280549078636
32.8,-49.1,,-106,6,981,130,0,,130,,88,,,,1971-09-15 12:00:00,A_6,12,2,9,38.98508856725473
32.7,-49.4,,-112,5,982,130,0,,130,,92,,,,1971-09-15 18:00:00,A_6,18,2,9,30.178991522476515
32.7,-49.6,,-90,3,981,130,0,,130,,79,,,,1971-09-16 00:00:00,A_6,0,3,9,18.71436901013778
32.7,-49.8,,-90,3,981,130,0,,130,,79,,,,1971-09-16 06:00:00,A_6,6,3,9,18.71436901013778
32.7,-50.1,,-90,5,987,120,0,,120,,77,,,,1971-09-16 12:00:00,A_6,12,3,9,28.071548315783637
32.7,-50.5,,-90,6,988,120,0,,120,,77,,,,1971-09-16 18:00:00,A_6,18,3,9,37.42872138209803
32.7,-51.0,,-90,8,987,120,0,,120,,79,,,,1971-09-17 00:00:00,A_6,0,4,9,46.785886129264085
32.7,-51.5,,-90,8,989,120,0,,120,,78,,,,1971-09-17 06:00:00,A_6,6,4,9,46.785886129264085
32.7,-51.9,,-90,6,992,120,0,,120,,66,,,,1971-09-17 12:00:00,A_6,12,4,9,37.428721382097436
32.6,-52.2,,-112,5,989,120,0,,120,,76,,,,1971-09-17 18:00:00,A_6,18,4,9,30.2082345968751
32.5,-52.4,,-121,4,988,120,0,,120,,77,,,,1971-09-18 00:00:00,A_6,0,5,9,21.79556658834377
32.3,-52.6,,-140,5,987,120,0,,120,,80,,,,1971-09-18 06:00:00,A_6,6,5,9,29.105832873117418
