lat,long,distance,azimuth,speed,cp,windspeed,landfall_flag,overland_flag,maxwind,min_cp,rad_maxwind,eye_diam,pressure_isobar,rad_isobar,date_time,SID,hour,day,month,derived_distance
11.7,-31.0,,-86,25,1005,65,0,,65,,71,,,,1899-08-03 00:00:00,S_1,0,3,8,0.0
11.8,-32.4,,-86,25,1000,83,0,,83,,59,,,,1899-08-03 06:00:00,S_1,6,3,8,152.81596382134228
12.0,-34.0,,-83,29,998,93,0,,93,,60,,,,1899-08-03 12:00:00,S_1,12,3,8,175.50299567969842
12.2,-35.7,,-83,31,995,102,0,,102,,51,,,,1899-08-03 18:00:00,S_1,18,3,8,186.1646572799243
12.4,-37.4,,-83,31,990,111,0,,111,,49,,,,1899-08-04 00:00:00,S_1,0,4,8,186.02620519102447
12.6,-38.8,,-82,26,991,111,0,,111,,54,,,,1899-08-04 06:00:00,S_1,6,4,8,153.6012269289478
12.7,-40.3,,-86,27,990,111,0,,111,,52,,,,1899-08-04 12:00:00,S_1,12,4,8,163.12308319631316
13.0,-42.0,,-80,31,990,111,0,,111,,35,,,,1899-08-04 18:00:00,S_1,18,4,8,187.2915703319059
13.5,-44.0,,-75,37,989,111,0,,111,,48,,,,1899-08-05 00:00:00,S_1,0,5,8,223.49437872450957
13.7,-45.5,,-82,27,993,111,0,,111,,85,,,,1899-08-05 06:00:00,S_1,6,5,8,163.63383414964673
14.0,-47.0,,-78,28,993,111,0,,111,,91,,,,1899-08-05 12:00:00,S_1,12,5,8,165.34282776274262
14.3,-48.7,,-79,31,990,120,0,,120,,66,,,,1899-08-05 18:00:00,S_1,18,5,8,186.30636874253608
14.6,-50.6,,-81,35,991,130,0,,130,,70,,,,1899-08-06 00:00:00,S_1,0,6,8,207.28817570197293
14.8,-52.4,,-83,32,988,139,0,,139,,51,,,,1899-08-06 06:00:00,S_1,6,6,8,194.8722445562165
15.1,-54.2,,-80,33,986,148,0,,148,,51,,,,1899-08-06 12:00:00,S_1,12,6,8,196.23168252490598
15.4,-55.8,,-79,29,980,167,0,,167,,39,,,,1899-08-06 18:00:00,S_1,18,6,8,174.85821301233761
15.7,-57.4,,-79,29,971,185,0,,185,,43,,,,1899-08-07 00:00:00,S_1,0,0,8,174.6153698153485
15.9,-59.0,,-82,29,960,204,0,,204,,50,,,,1899-08-07 06:00:00,S_1,6,0,8,172.62820693828695
16.2,-60.5,,-78,27,945,222,0,,222,,45,,,,1899-08-07 12:00:00,S_1,12,0,8,163.72497291400148
16.5,-62.0,,-78,27,930,241,0,,241,,53,,,,1899-08-07 18:00:00,S_1,18,0,8,163.4864285121694
16.9,-63.4,,-73,26,933,241,0,,241,,53,,,,1899-08-08 00:00:00,S_1,0,1,8,155.59900073246047
17.4,-64.8,,-69,26,941,232,0,,232,,66,,,,1899-08-08 06:00:00,S_1,6,1,8,158.80097883545287
18.0,-66.2,,-66,27,940,222,0,,222,,73,,,,1899-08-08 12:00:00,S_1,12,1,8,162.61860732438632
18.6,-67.3,,-60,22,958,194,0,,194,,73,,,,1899-08-08 18:00:00,S_1,18,1,8,133.92837102552156
18.9,-68.1,,-68,15,955,194,0,,194,,56,,,,1899-08-09 00:00:00,S_1,0,2,8,90.59979310509382
19.3,-68.9,,-62,16,957,194,0,,194,,62,,,,1899-08-09 06:00:00,S_1,6,2,8,95.1007295462287
19.7,-69.8,,-65,17,959,194,0,,194,,64,,,,1899-08-09 12:00:00,S_1,12,2,8,104.29472840836317
20.1,-70.6,,-62,16,959,194,0,,194,,62,,,,1899-08-09 18:00:00,S_1,18,2,8,94.73445353907633
20.4,-71.4,,-68,15,957,194,0,,194,,53,,,,1899-08-10 00:00:00,S_1,0,3,8,89.87747768010287
20.7,-72.2,,-68,15,955,194,0,,194,,48,,,,1899-08-10 06:00:00,S_1,6,3,8,89.72673668283535
21.0,-73.0,,-68,15,952,194,0,,194,,47,,,,1899-08-10 12:00:00,S_1,12,3,8,89.57391693594165
21.4,-73.7,,-58,14,955,194,0,,194,,46,,,,1899-08-10 18:00:00,S_1,18,3,8,85.11461208817735
22.0,-74.5,,-51,18,957,194,0,,194,,33,,,,1899-08-11 00:00:00,S_1,0,4,8,106.21867302330308
22.5,-75.3,,-56,17,950,194,0,,194,,53,,,,1899-08-11 06:00:00,S_1,6,4,8,99.34604578913924
23.0,-76.0,,-52,15,952,194,0,,194,,50,,,,1899-08-11 12:00:00,S_1,12,4,8,90.79389511646546
23.4,-76.5,,-49,11,951,194,0,,194,,55,,,,1899-08-11 18:00:00,S_1,18,4,8,67.7470026542568
23.8,-77.0,,-49,11,950,194,0,,194,,55,,,,1899-08-12 00:00:00,S_1,0,5,8,67.63080114389257
24.2,-77.4,,-42,10,950,194,0,,194,,63,,,,1899-08-12 06:00:00,S_1,6,5,8,60.24367340471684
24.5,-77.7,,-42,8,950,194,0,,194,,70,,,,1899-08-12 12:00:00,S_1,12,5,8,45.12654348720627
25.1,-78.0,,-24,12,950,194,0,,194,,79,,,,1899-08-12 18:00:00,S_1,18,5,8,73.2677077451693
25.6,-78.2,,-20,10,950,194,0,,194,,97,,,,1899-08-13 00:00:00,S_1,0,6,8,59.11848969108109
26.2,-78.4,,-17,12,947,194,0,,194,,91,,,,1899-08-13 06:00:00,S_1,6,6,8,69.6517725097032
27.0,-78.6,,-13,15,943,194,0,,194,,69,,,,1899-08-13 12:00:00,S_1,12,6,8,91.15145437494148
27.6,-78.8,,-16,12,944,194,0,,194,,83,,,,1899-08-13 18:00:00,S_1,18,6,8,69.58227921426007
28.3,-79.0,,-14,13,943,194,0,,194,,67,,,,1899-08-14 00:00:00,S_1,0,0,8,80.27730775687002
29.0,-79.1,,-7,13,946,194,0,,194,,73,,,,1899-08-14 06:00:00,S_1,6,0,8,78.44582554221277
29.7,-79.0,,7,13,952,194,0,,194,,79,,,,1899-08-14 12:00:00,S_1,12,0,8,78.43765990905563
30.3,-78.9,,8,11,953,194,0,,194,,77,,,,1899-08-14 18:00:00,S_1,18,0,8,67.40842236523517
30.9,-78.7,,16,12,955,194,0,,194,,70,,,,1899-08-15 00:00:00,S_1,0,1,8,69.40875919121129
31.3,-78.4,,33,9,954,194,0,,194,,71,,,,1899-08-15 06:00:00,S_1,6,1,8,52.85999368151567
31.7,-78.0,,40,10,954,194,0,,194,,70,,,,1899-08-15 12:00:00,S_1,12,1,8,58.45077104882581
32.2,-77.5,,40,12,953,194,0,,194,,68,,,,1899-08-15 18:00:00,S_1,18,1,8,72.91460861430306
32.6,-76.9,,52,12,951,194,0,,194,,70,,,,1899-08-16 00:00:00,S_1,0,2,8,71.77358598974686
32.8,-76.2,,71,12,952,194,0,,194,,67,,,,1899-08-16 06:00:00,S_1,6,2,8,69.17252329835232
33.0,-75.5,,71,12,952,194,0,,194,,68,,,,1899-08-16 12:00:00,S_1,12,2,8,69.03316962156038
33.3,-75.0,,54,10,952,194,0,,194,,68,,,,1899-08-16 18:00:00,S_1,18,2,8,57.267326031317765
33.7,-74.6,,40,10,953,194,0,,194,,66,,,,1899-08-17 00:00:00,S_1,0,3,8,57.91303101141888
34.1,-74.4,,22,8,954,194,0,,194,,61,,,,1899-08-17 06:00:00,S_1,6,3,8,48.15614159748222
34.5,-74.5,,-12,8,954,194,0,,194,,56,,,,1899-08-17 12:00:00,S_1,12,3,8,45.41666603909958
34.8,-75.0,,-54,9,952,194,0,,194,,51,,,,1899-08-17 18:00:00,S_1,18,3,8,56.60944351844445
35.1,-75.7,,-62,12,950,194,0,,194,,53,,,,1899-08-18 00:00:00,S_1,0,4,8,71.99341997121813
35.2,-75.8,,-39,14,953,194,1,,194,,50,,,,1899-08-18 01:00:00,S_1,1,4,8,14.363319278717873
35.7,-76.0,,-18,12,956,167,0,,167,,71,,,,1899-08-18 06:00:00,S_1,6,4,8,58.47465029837034
36.3,-75.7,,22,12,964,148,0,,148,,75,,,,1899-08-18 12:00:00,S_1,12,4,8,71.96859030459746
36.4,-75.5,,58,4,978,139,0,,139,,75,,,,1899-08-18 18:00:00,S_1,18,4,8,21.082385153325216
36.4,-75.3,,90,3,977,139,0,,139,,76,,,,1899-08-19 00:00:00,S_1,0,5,8,17.900042875066553
36.4,-75.0,,90,4,978,130,0,,130,,86,,,,1899-08-19 06:00:00,S_1,6,5,8,26.850058312165128
36.5,-74.7,,67,5,979,130,0,,130,,88,,,,1899-08-19 12:00:00,S_1,12,5,8,29.04549350306471
37.0,-74.0,,48,14,981,130,0,,130,,63,,,,1899-08-19 18:00:00,S_1,18,5,8,83.55013809415271
37.7,-72.9,,51,21,983,130,0,,130,,53,,,,1899-08-20 00:00:00,S_1,0,6,8,124.54883556029286
38.3,-71.9,,52,18,979,130,0,,130,,55,,,,1899-08-20 06:00:00,S_1,6,6,8,110.13023161814827
38.8,-70.7,,62,20,976,130,0,,130,,65,,,,1899-08-20 12:00:00,S_1,12,6,8,118.23919027996536
39.3,-69.0,,69,26,980,130,0,,130,,67,,,,1899-08-20 18:00:00,S_1,18,6,8,156.9734845615805
39.4,-67.3,,85,24,982,130,0,,130,,69,,,,1899-08-21 00:00:00,S_1,0,0,8,146.5958542187841
39.5,-65.4,,85,27,983,130,0,,130,,79,,,,1899-08-21 06:00:00,S_1,6,0,8,163.514278599242
39.7,-63.5,,82,27,981,130,0,,130,,77,,,,1899-08-21 12:00:00,S_1,12,0,8,164.2956444071532
39.5,-61.3,,96,32,982,120,0,,120,,84,,,,1899-08-21 18:00:00,S_1,18,0,8,189.79245941861404
39.3,-58.9,,95,35,995,111,0,,111,,70,,,,1899-08-22 00:00:00,S_1,0,1,8,207.4073442307717
39.1,-56.5,,95,35,995,102,0,,102,,77,,,,1899-08-22 06:00:00,S_1,6,1,8,207.99401150492415
38.7,-54.3,,102,33,997,93,0,,93,,78,,,,1899-08-22 12:00:00,S_1,12,1,8,195.50197486761652
38.3,-52.9,,110,22,989,93,0,,93,,156,,,,1899-08-22 18:00:00,S_1,18,1,8,129.69440453649338
37.9,-52.0,,119,15,991,93,0,,93,,163,,,,1899-08-23 00:00:00,S_1,0,2,8,90.44449032269098
37.3,-50.9,,124,20,988,83,0,,83,,145,,,,1899-08-23 06:00:00,S_1,6,2,8,117.65241933750661
36.7,-50.0,,130,17,991,83,0,,83,,153,,,,1899-08-23 12:00:00,S_1,12,2,8,104.10950876731137
36.0,-49.0,,131,20,989,83,0,,83,,126,,,,1899-08-23 18:00:00,S_1,18,2,8,118.65408514341972
35.4,-48.2,,132,16,990,83,0,,83,,141,,,,1899-08-24 00:00:00,S_1,0,3,8,98.33410489023755
34.7,-47.2,,130,20,994,74,0,,74,,112,,,,1899-08-24 06:00:00,S_1,6,3,8,119.76920736128899
34.3,-46.0,,112,20,1001,74,0,,74,,65,,,,1899-08-24 12:00:00,S_1,12,3,8,118.61986862276211
34.2,-45.0,,97,15,1002,74,0,,74,,76,,,,1899-08-24 18:00:00,S_1,18,3,8,92.58248917590336
34.3,-44.1,,82,14,1001,74,0,,74,,86,,,,1899-08-25 00:00:00,S_1,0,4,8,83.46515276465762
34.6,-43.3,,65,13,999,74,0,,74,,90,,,,1899-08-25 06:00:00,S_1,6,4,8,80.58339901490598
35.3,-43.0,,19,14,997,74,0,,74,,84,,,,1899-08-25 12:00:00,S_1,12,4,8,82.49916534194539
35.6,-43.0,,0,6,1000,74,0,,74,,102,,,,1899-08-25 18:00:00,S_1,18,4,8,33.358524070059914
36.0,-43.2,,-22,8,1003,74,0,,74,,114,,,,1899-08-26 00:00:00,S_1,0,5,8,47.99619398559694
36.3,-43.3,,-15,6,1002,74,0,,74,,106,,,,1899-08-26 06:00:00,S_1,6,5,8,34.54574099477955
36.5,-43.5,,-39,5,1000,74,0,,74,,97,,,,1899-08-26 12:00:00,S_1,12,5,8,28.547933616684354
36.8,-43.7,,-28,6,1001,74,0,,74,,99,,,,1899-08-26 18:00:00,S_1,18,5,8,37.83036468625728
37.2,-44.0,,-31,9,1001,74,0,,74,,94,,,,1899-08-27 00:00:00,S_1,0,6,8,51.846368476145095
37.5,-44.2,,-28,6,1002,74,0,,74,,98,,,,1899-08-27 06:00:00,S_1,6,6,8,37.753520631941385
37.7,-44.5,,-50,6,1001,74,0,,74,,92,,,,1899-08-27 12:00:00,S_1,12,6,8,34.54121769790817
38.2,-44.7,,-17,10,1002,74,0,,74,,93,,,,1899-08-27 18:00:00,S_1,18,6,8,58.297603371538685
38.7,-44.9,,-17,10,1002,74,0,,74,,92,,,,1899-08-28 00:00:00,S_1,0,0,8,58.26161345572517
39.4,-45.0,,-6,13,1000,74,0,,74,,85,,,,1899-08-28 06:00:00,S_1,6,0,8,78.31408773504135
40.0,-45.0,,0,11,999,74,0,,74,,85,,,,1899-08-28 12:00:00,S_1,12,0,8,66.71704814011983
40.3,-44.7,,37,7,999,74,0,,74,,83,,,,1899-08-28 18:00:00,S_1,18,0,8,41.987238082023275
40.6,-44.1,,56,10,1000,74,0,,74,,77,,,,1899-08-29 00:00:00,S_1,0,1,8,60.748156576212494
40.6,-43.5,,90,8,999,74,0,,74,,82,,,,1899-08-29 06:00:00,S_1,6,1,8,50.65624233649104
40.5,-43.0,,105,7,1000,74,0,,74,,83,,,,1899-08-29 12:00:00,S_1,12,1,8,43.68400219954367
40.5,-42.7,,90,4,999,74,0,,74,,88,,,,1899-08-29 18:00:00,S_1,18,1,8,25.36600848489317
40.5,-42.3,,90,6,1000,74,0,,74,,87,,,,1899-08-30 00:00:00,S_1,0,2,8,33.8213319722481
40.5,-41.9,,90,6,1000,74,0,,74,,88,,,,1899-08-30 06:00:00,S_1,6,2,8,33.82133197224703
40.3,-41.5,,123,7,1000,74,0,,74,,84,,,,1899-08-30 12:00:00,S_1,12,2,8,40.51989578762488
40.2,-41.2,,113,5,1000,74,0,,74,,86,,,,1899-08-30 18:00:00,S_1,18,2,8,27.782542034618466
